Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
IndexPage,1141,1740,1056,4304,5627,10252,282,14189,15.600%,53.62094,323.61,7.38
AboutPage,1056,968,525,1985,3970,5903,278,9397,6.534%,51.91485,254.56,7.15
ServicesPage,933,1364,790,3548,5238,6862,280,10360,100.000%,46.58943,1251.46,6.55
Endurance Testing-ThreadStarter:ServicesPage,158,2131,532,5564,5836,11531,281,22740,100.000%,6.94811,185.64,0.98
Endurance Testing-ThreadStarter:IndexPage,147,2040,356,5325,5582,26767,280,26794,21.088%,4.20697,25.24,0.58
Spike Testing:AboutPage,32,3015,3935,5499,5503,5581,281,5581,53.125%,2.44536,11.99,0.34
Stress Testing:IndexPage,2358,965,453,2226,3137,5123,303,29714,5.513%,27.70337,167.19,3.81
Spike Testing:IndexPage,38,4102,1321,6740,21835,28222,320,28222,36.842%,1.07606,6.49,0.15
Load Testing-ThreadStarter:AboutPage,62,2797,1036,6185,7049,14588,280,17738,37.097%,3.29577,16.16,0.45
Endurance Testing-ThreadStarter:AboutPage,147,1867,329,5359,5743,21216,278,23118,23.129%,4.94666,24.26,0.68
Load Testing-ThreadStarter:IndexPage,60,16301,1773,8642,16993,26800,317,772054,28.333%,.07771,0.47,0.01
Stress Testing:AboutPage,2324,654,315,1474,2842,4007,264,6701,4.647%,28.08663,139.57,3.87
Spike Testing:ServicesPage,43,3598,3896,7188,8854,15842,288,15842,100.000%,1.96257,52.72,0.28
Stress Testing:ServicesPage,2314,805,363,2117,3032,4726,281,34461,99.697%,24.73887,662.79,3.48
Load Testing-ThreadStarter:ServicesPage,78,3926,2162,7514,9071,29148,287,31434,100.000%,2.48139,66.65,0.35
TOTAL,10891,1167,448,2671,4267,7065,264,772054,38.013%,14.06837,174.42,1.95
